gene_symbol,referral_indication,disease_grouping,Syndromic or non-syndromic HCM,disease_name,gene_disease_validity,allelic_requirement,inheritance,inheritance_modifiers,mechanism,variant_class_with_pathogenicity_evidence,pmids,expert_panel,expert_panel_review_date,curated_date,entry_date
ABCC9,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,ABCC9-related Cantu Syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,nan,gain of function,missense_variant,31828977;22608503;34453476;33529173;31175705;22610116;30089727,DDG2P team,13.01.2025,11.11.2021,2023-05-17 13:51:00+00:00
ACTC1,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,ACTC1-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_deletion,10966831;20031618;17611253;28972856;27532257;26061005;10330430;28007147;23604709,Cardiomyopathy expert panel,10.11.2021,10.10.2021,2022-04-25 12:45:00+00:00
ACTN2,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,ACTN2-related cardiac and skeletal myopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,frameshift_variant_NMD_triggering;stop_gained_NMD_triggering;missense_variant;inframe_deletion;deletion,34802252;34526680;20022194;25224718;25173926;30630173;31956495;31680489;17097056;27532257;31983221;33500567;32973354;30701273;30900782;38311799; 39971408,ClinGen HCVD GCEP,17.03.2025,10.10.2024,
ALPK3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,ALPK3-related Hypertrophic cardiomyopathy,Strong,monoallelic_autosomal,Autosomal dominant,nan,loss of function,stop_gained_variant;frameshift_variant;splice_donor_variant;splice_acceptor_variant,33191771;34263907;34526680;32480058;39971408,ClinGen HCVD GCEP,17.03.2025,10.10.2024,2022-04-26 12:45:00+00:00
ALPK3,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,ALPK3-related Hypertrophic cardiomyopathy,Definitive,biallelic_autosomal,Autosomal recessive,nan,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant,34263907;21441111;33191771;34263911;32480058;31074094;27106955;26846950,Cardiomyopathy expert panel,24.11.2021,11.11.2021,2022-04-25 12:45:00+00:00
BAG3,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,BAG3-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;missense_variant;stop_gained_NMD_triggering;exon_loss_variant;transcript_ablation,25008357;21353195;21898660;23518596;31808029;30442290;26796036;31983221;27391596;32160020;28737513;20884878,Cardiomyopathy expert panel,08.12.2021,31.03.2021,2022-04-25 12:45:00+00:00
BAG3,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,BAG3-related Myofibrillar myopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,23995273;20605452;32453099;22734908;25728519;19085932;21361913,Cardiomyopathy expert panel,12.01.2022,11.11.2021,2023-05-17 13:52:00+00:00
CACNA1C,Long QT Syndrome (LQTS),Syndromic QT prolongation and cardiac arrhythmias,NA,CACNA1C-related Timothy syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,15863612;15454078;22106044;26253506;4728418;31983240;NBK1403;30681346;33797204;16360093,Channelopathy expert panel,16.06.2021,11.11.2020,2022-05-25 11:23:00+00:00
CACNA1C,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,CACNA1C-related Timothy syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,28211989;25633834;15863612;15454078;22106044;26253506;4728418;31983240;NBK1403;30681346;33797204;16360093,Cardiomyopathy expert panel,24.11.2021,11.11.2021,2022-05-25 11:23:00+00:00
CALM1,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Atypical CPVT phenotype,NA,CALM1-related Catecholaminergic polymorphic ventricular tachycardia,Moderate,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;26309258;31983240;24563457;23040497;25557436;32929985,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
CALM1,Long QT Syndrome (LQTS),Long QT syndrome with an atypical presentation,NA,CALM1-related Long QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;31983240;23388215;26969752,Channelopathy expert panel,16.06.2021,14.10.2020,2022-04-26 11:53:00+00:00
CALM2,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Atypical CPVT phenotype,NA,CALM2-related Catecholaminergic polymorphic ventricular tachycardia,Moderate,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;26309258;24917665;31983240;25557436;27100291,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
CALM2,Long QT Syndrome (LQTS),Long QT syndrome with an atypical presentation,NA,CALM2-related Long QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;27765793;31983240;23388215;26969752,Channelopathy expert panel,16.06.2021,14.10.2020,2022-04-26 11:53:00+00:00
CALM3,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Atypical CPVT phenotype,NA,CALM3-related Catecholaminergic polymorphic ventricular tachycardia,Moderate,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;31983240;27516456,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
CALM3,Long QT Syndrome (LQTS),Long QT syndrome with an atypical presentation,NA,CALM3-related Long QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typically de novo,nan,missense_variant,31170290;31983240;23388215;26969752,Channelopathy expert panel,16.06.2021,14.10.2020,2022-04-26 11:53:00+00:00
CASQ2,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Classic CPVT phenotype,NA,CASQ2-related Catecholaminergic polymorphic ventricular tachycardia,Moderate,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_region_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,16908766;32693635;12386154;15176429;21618644;27157848,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
CASQ2,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Classic CPVT phenotype,NA,CASQ2-related Catecholaminergic polymorphic ventricular tachycardia,Definitive,biallelic_autosomal,Autosomal recessive,nan,loss of function,splice_region_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,16908766;32693635;12386154;15176429;21618644;27157848,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
