tet_tt_id,tet_te_id,tet_number
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
1,2,2
2,2,2
3,2,2
4,2,2
5,2,2
6,2,2
7,2,2
1,3,3
2,3,3
3,3,3
4,3,3
5,3,3
6,3,3
7,3,3
1,4,4
2,4,4
3,4,4
4,4,4
5,4,4
6,4,4
7,4,4
1,5,5
2,5,5
3,5,5
4,5,5
5,5,5
6,5,5
7,5,5
1,6,6
2,6,6
3,6,6
4,6,6
5,6,6
6,6,6
7,6,6
1,7,7
2,7,7
3,7,7
4,7,7
5,7,7
6,7,7
7,7,7
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
1,9,9
2,9,9
3,9,9
4,9,9
5,9,9
6,9,9
7,9,9
1,10,10
2,10,10
3,10,10
4,10,10
5,10,10
6,10,10
7,10,10
1,11,11
2,11,11
3,11,11
7,11,11
1,12,12
2,12,12
3,12,12
4,12,11
5,12,11
6,12,11
7,12,12
1,13,13
2,13,13
3,13,13
4,13,12
5,13,12
6,13,12
7,13,13
1,14,14
2,14,14
3,14,14
4,14,13
5,14,13
6,14,13
7,14,14
1,15,15
2,15,15
3,15,15
4,15,14
5,15,14
6,15,14
7,15,15
1,16,16
2,16,16
3,16,16
4,16,15
5,16,15
6,16,15
7,16,16
1,17,17
2,17,17
3,17,17
4,17,16
5,17,16
6,17,16
7,17,17
1,18,18
2,18,18
3,18,18
4,18,17
5,18,17
6,18,17
7,18,18
1,19,19
2,19,19
3,19,19
4,19,18
5,19,18
6,19,18
7,19,19
1,20,20
2,20,20
3,20,20
4,20,19
5,20,19
6,20,19
7,20,20
1,21,21
2,21,21
3,21,21
4,21,20
5,21,20
6,21,20
7,21,21
1,22,22
2,22,22
3,22,22
4,22,21
5,22,21
6,22,21
7,22,22
1,23,23
2,23,23
3,23,23
4,23,22
5,23,22
6,23,22
7,23,23
1,24,24
2,24,24
3,24,24
4,24,23
5,24,23
6,24,23
7,24,24
1,25,25
2,25,25
3,25,25
4,25,24
5,25,24
6,25,24
7,25,25
1,26,26
2,26,26
3,26,26
4,26,25
5,26,25
6,26,25
7,26,26
1,27,27
2,27,27
3,27,27
4,27,26
5,27,26
6,27,26
7,27,27
1,28,28
2,28,28
3,28,28
4,28,27
5,28,27
6,28,27
7,28,28
1,29,29
2,29,29
3,29,29
4,29,28
5,29,28
6,29,28
7,29,29
1,30,30
2,30,30
3,30,30
4,30,29
5,30,29
6,30,29
7,30,30
1,31,31
2,31,31
3,31,31
4,31,30
5,31,30
6,31,30
7,31,31
1,32,32
2,32,32
3,32,32
4,32,31
5,32,31
6,32,31
7,32,32
1,33,33
2,33,33
3,33,33
4,33,32
5,33,32
6,33,32
7,33,33
1,34,34
2,34,34
3,34,34
4,34,33
5,34,33
6,34,33
7,34,34
1,35,35
2,35,35
3,35,35
4,35,34
5,35,34
6,35,34
7,35,35
1,36,36
2,36,36
3,36,36
4,36,35
5,36,35
6,36,35
7,36,36
1,37,37
2,37,37
3,37,37
4,37,36
5,37,36
6,37,36
7,37,37
1,38,38
2,38,38
3,38,38
4,38,37
5,38,37
6,38,37
7,38,38
1,39,39
2,39,39
3,39,39
4,39,38
5,39,38
6,39,38
7,39,39
1,40,40
2,40,40
3,40,40
4,40,39
5,40,39
6,40,39
7,40,40
1,41,41
2,41,41
3,41,41
4,41,40
5,41,40
6,41,40
7,41,41
1,42,42
2,42,42
3,42,42
4,42,41
5,42,41
6,42,41
7,42,42
1,43,43
2,43,43
3,43,43
4,43,42
5,43,42
6,43,42
7,43,43
1,44,44
2,44,44
3,44,44
4,44,43
5,44,43
6,44,43
7,44,44
1,45,45
5,45,44
1,46,46
6,46,44
1,47,47
2,47,45
3,47,45
4,47,44
5,47,45
6,47,45
7,47,45
7,48,46
1,49,48
2,49,46
4,49,45
5,49,46
6,49,46
1,50,49
2,50,47
3,50,46
4,50,46
5,50,47
6,50,47
1,51,50
2,51,48
3,51,47
1,52,51
2,52,49
3,52,48
1,53,52
2,53,50
3,53,49
1,54,53
2,54,51
3,54,50
1,55,54
