te_id,te_band,te_psi,te_chr_start,te_chr_end,te_lrg_start,te_lrg_end,te_meta_start,te_meta_end,te_psi_dcm,te_psi_gtex,te_phase,te_symmetry,te_domain,te_ensembl_id
1,,100,179672150,179671939,28380,28591,,,100,100,,,,ENSE00001465556
2,Z-disk,100,179669382,179669279,31148,31251,1,91,100,100,1,A,Ig-like 1,ENSE00003502146
3,Z-disk,100,179667068,179666865,33462,33665,92,295,100,100,1,S,Ig-like 1,ENSE00003475359
4,Z-disk,100,179665409,179665122,35121,35408,296,583,100,100,1,S,Ig-like 2,ENSE00003499489
5,Z-disk,100,179664637,179664552,35893,35978,584,669,100,100,0,A,,ENSE00003644908
6,Z-disk,100,179664458,179664214,36072,36316,670,914,100,100,2,A,,ENSE00002209922
7,Z-disk,100,179659979,179659649,40551,40881,915,1245,100,100,0,A,,ENSE00002244613
8,Z-disk,100,179659278,179659126,41252,41404,1246,1398,100,100,0,S,Z-repeat 1,ENSE00002213186
9,Z-disk,100,179658268,179658131,42262,42399,1399,1536,100,100,0,S,Z-repeat 2,ENSE00002288737
10,Z-disk,100,179656924,179656799,43606,43731,1537,1662,100,100,0,S,Z-repeat 3,ENSE00002225610
11,Z-disk,57,179655572,179655435,44958,45095,1663,1800,51,63,0,S,Z-repeat 4,ENSE00002219569
12,Z-disk,80,179654842,179654705,45688,45825,1801,1938,79,75,0,S,Z-repeat 5,ENSE00002280741
13,Z-disk,98,179654224,179654087,46306,46443,1939,2076,96,95,0,S,Z-repeat 6,ENSE00002242444
14,Z-disk,100,179650868,179650575,49662,49955,2077,2370,100,100,0,S,Z-repeat 7,ENSE00002280664
15,Z-disk,100,179650469,179650347,50061,50183,2371,2493,99,99,0,S,,ENSE00002265596
16,near Z-disk,100,179649078,179648797,51452,51733,2494,2775,99,100,0,S,,ENSE00002275975
17,near Z-disk,100,179648512,179648447,52018,52083,2776,2841,99,100,0,S,,ENSE00002277462
18,near Z-disk,100,179647791,179647533,52739,52997,2842,3100,100,100,1,A,Ig-like 3,ENSE00002288113
19,near Z-disk,100,179647329,179647266,53201,53264,3101,3164,100,100,2,A,,ENSE00002282639
20,near Z-disk,100,179647154,179646939,53376,53591,3165,3380,100,100,2,S,Ig-like 4,ENSE00002234850
21,near Z-disk,100,179645990,179645848,54540,54682,3381,3523,100,100,1,A,Ig-like 4,ENSE00002260929
22,near Z-disk,100,179644932,179644727,55598,55803,3524,3729,100,100,0,A,,ENSE00002250593
23,near Z-disk,100,179644189,179643956,56341,56574,3730,3963,100,99,0,S,Ig-like 5,ENSE00002287803
24,near Z-disk,100,179643845,179643601,56685,56929,3964,4208,100,99,2,A,Ig-like 5,ENSE00002251827
25,near Z-disk,100,179642702,179642431,57828,58099,4209,4480,100,100,1,A,Ig-like 6,ENSE00002293729
26,near Z-disk,100,179642311,179642147,58219,58383,4481,4645,100,100,1,S,Ig-like 6,ENSE00002290249
27,near Z-disk,100,179642044,179641876,58486,58654,4646,4814,100,100,2,A,Ig-like 7,ENSE00002254853
28,near Z-disk / I-band,100,179641776,179640083,58754,60447,4815,6508,100,100,1,A,Ig-like 7/8/9/10,ENSE00002224222
29,I-band,100,179639929,179639648,60601,60882,6509,6790,100,100,1,S,Ig-like 11,ENSE00002231913
30,I-band,100,179639200,179638934,61330,61596,6791,7057,100,100,1,S,Ig-like 12,ENSE00002314968
31,I-band,100,179638837,179638565,61693,61965,7058,7330,100,100,1,S,Ig-like 13,ENSE00002291684
32,I-band,100,179638452,179638189,62078,62341,7331,7594,100,100,1,S,Ig-like 14,ENSE00002256304
33,I-band,100,179638096,179637836,62434,62694,7595,7855,100,100,1,S,,ENSE00002203109
34,I-band,100,179636198,179635938,64332,64592,7856,8116,100,100,1,S,Ig-like 15,ENSE00002288762
35,I-band,100,179635402,179635139,65128,65391,8117,8380,100,100,1,S,,ENSE00002248188
36,I-band,100,179635047,179634787,65483,65743,8381,8641,100,100,1,S,,ENSE00002302615
37,I-band,100,179634666,179634406,65864,66124,8642,8902,100,100,1,S,Ig-like 16,ENSE00002227375
38,I-band,100,179633660,179633400,66870,67130,8903,9163,100,100,1,S,Ig-like 17,ENSE00002250372
39,I-band,100,179632882,179632741,67648,67789,9164,9305,100,100,2,A,Ig-like 18,ENSE00002243045
40,I-band,100,179632651,179632486,67879,68044,9306,9471,100,100,0,A,Ig-like 18,ENSE00002314026
41,I-band,100,179631339,179631108,69191,69422,9472,9703,100,100,1,A,,ENSE00002284330
42,I-band,100,179629538,179629254,70992,71276,9704,9988,100,100,1,S,Ig-like 19,ENSE00002293150
43,I-band,100,179629029,179628904,71501,71626,9989,10114,100,100,1,S,Ig-like 20,ENSE00002252916
44,I-band,100,179623899,179623711,76631,76819,10115,10303,100,100,1,S,Ig-like 20,ENSE00002313844
45,,2,179622643,179622269,77887,78261,10304,10678,1,5,1,S,,ENSE00001236818
46,,7,179621524,179620949,79006,79581,10679,11254,4,14,1,S,,ENSE00001402797
47,I-band,100,179617907,179617851,82623,82679,11255,11311,100,100,1,S,,ENSE00002217137
48,,83,179616766,179610047,,,,,82,89,,A,,ENSE00001339816
49,I-band,99,179606648,179603868,93882,96662,11312,14092,100,95,1,S,Ig-like 21/22/23,ENSE00001328652
50,I-band,100,179603087,179602809,97443,97721,14093,14371,100,100,1,S,Ig-like 24,ENSE00002291163
51,I-band,39,179600801,179600238,99729,100292,14372,14935,33,46,1,S,Ig-like 25/26,ENSE00002282221
52,I-band,22,179599715,179599434,100815,101096,14936,15217,15,29,1,S,Ig-like 27,ENSE00002296916
53,I-band,15,179599333,179599055,101197,101475,15218,15496,10,23,1,S,Ig-like 28,ENSE00002235414
54,I-band,12,179598619,179598341,101911,102189,15497,15775,7,14,1,S,Ig-like 29,ENSE00002221438
55,I-band,10,179598244,179597966,102286,102564,15776,16054,6,13,1,S,Ig-like 30,ENSE00002274319
56,I-band,12,179597848,179597561,102682,102969,16055,16342,6,17,1,S,Ig-like 31,ENSE00002218429
57,I-band,11,179597445,179597167,103085,103363,16343,16621,7,16,1,S,Ig-like 32,ENSE00002246044
58,I-band,15,179597074,179596793,103456,103737,16622,16903,7,20,1,S,Ig-like 33,ENSE00002218872
59,I-band,15,179596698,179596420,103832,104110,16904,17182,8,21,1,S,Ig-like 34,ENSE00002218231
60,I-band,33,179596310,179596032,104220,104498,17183,17461,20,35,1,S,Ig-like 35,ENSE00002222439
61,I-band,47,179595930,179595652,104600,104878,17462,17740,35,51,1,S,Ig-like 36,ENSE00002262851
62,I-band,39,179595519,179595232,105011,105298,17741,18028,32,50,1,S,Ig-like 37,ENSE00002219811
63,I-band,12,179595098,179594820,105432,105710,18029,18307,6,16,1,S,Ig-like 38,ENSE00002289897
64,I-band,14,179594672,179594391,105858,106139,18308,18589,7,21,1,S,Ig-like 39,ENSE00002297410
